name,value,year,lastValue,rank
Other,142,2020.9,140,3
Other,140,2020.8,137,3
Other,137,2020.7,135,3
Other,135,2020.6,132,4
Other,132,2020.5,130,4
Other,130,2020.4,127,4
Other,127,2020.3,125,4
Other,125,2020.2,122,4
Other,122,2020.1,120,5
Other,120,2020.0,0,5
Believed,211,2020.9,208,1
Believed,208,2020.8,205,1
Believed,205,2020.7,202,1
Believed,202,2020.6,199,1
Believed,199,2020.5,196,1
Believed,196,2020.4,193,1
Believed,193,2020.3,190,1
Believed,190,2020.2,187,1
Believed,187,2020.1,184,1
Believed,184,2020.0,0,1
Against,154,2020.9,152,2
Against,152,2020.8,151,2
Against,151,2020.7,149,2
Against,149.8,2020.6,148,2
Against,148,2020.5,147,2
Against,147,2020.4,145,2
Against,145,2020.3,144,2
Against,144,2020.2,143,2
Against,143,2020.1,141,2
Against,141,2020.0,0,2
