date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral
2020-04-13,114,21,118,0.4506,0.083,0.4664,114,21,118
2020-04-14,137,62,137,0.4077,0.1845,0.4077,251,83,255
2020-04-15,138,53,155,0.3988,0.1532,0.448,389,136,410
2020-04-16,182,64,215,0.3948,0.1388,0.4664,571,200,625
2020-04-17,224,71,256,0.4065,0.1289,0.4646,795,271,881
2020-04-18,279,159,306,0.375,0.2137,0.4113,1074,430,1187
2020-04-19,286,156,403,0.3385,0.1846,0.4769,1360,586,1590
2020-04-20,508,184,567,0.4035,0.1461,0.4504,1868,770,2157
2020-04-21,449,256,580,0.3494,0.1992,0.4514,2317,1026,2737
2020-04-22,670,282,752,0.3932,0.1655,0.4413,2987,1308,3489
2020-04-23,886,355,1032,0.3898,0.1562,0.454,3873,1663,4521
2020-04-24,1473,559,1582,0.4076,0.1547,0.4377,5346,2222,6103
2020-04-25,1778,834,2401,0.3547,0.1664,0.479,7124,3056,8504
2020-04-26,8781,5046,10826,0.3562,0.2047,0.4391,15905,8102,19330
2020-04-27,25809,14705,36383,0.3356,0.1912,0.4731,41714,22807,55713
