date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,user_cnt,acc_user_cnt,tweet_cnt,acc_tweet_cnt
2020-04-20,63,25,31,0.5294,0.2101,0.2605,63,25,31,85,85,119,119
2020-04-21,55,33,55,0.3846,0.2308,0.3846,118,58,86,85,170,143,262
2020-04-22,75,28,68,0.4386,0.1637,0.3977,193,86,154,116,286,171,433
2020-04-23,103,46,79,0.4518,0.2018,0.3465,296,132,233,148,434,228,661
2020-04-24,122,58,108,0.4236,0.2014,0.375,418,190,341,168,602,288,949
2020-04-25,115,53,103,0.4244,0.1956,0.3801,533,243,444,157,759,271,1220
2020-04-26,1414,3608,2246,0.1946,0.4964,0.309,1947,3851,2690,3448,4207,7268,8488
2020-04-27,8309,4706,6526,0.4252,0.2408,0.334,10256,8557,9216,13200,17407,19541,28029
2020-04-28,5108,2658,4060,0.4319,0.2248,0.3433,15364,11215,13276,7050,24457,11826,39855
2020-04-29,3409,1904,2708,0.425,0.2374,0.3376,18773,13119,15984,3493,27950,8021,47876
2020-04-30,7548,4679,7677,0.3792,0.2351,0.3857,26321,17798,23661,2900,30850,19904,67780
2020-05-01,15777,12937,19917,0.3244,0.266,0.4096,42098,30735,43578,3009,33859,48631,116411
2020-05-02,1309,820,1031,0.4142,0.2595,0.3263,43407,31555,44609,2182,36041,3160,119571
