date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-20,1,0,0,1.0,0.0,0.0,1,0,0,1,1
2020-04-21,1,0,0,1.0,0.0,0.0,2,0,0,1,2
2020-04-22,12,0,4,0.75,0.0,0.25,14,0,4,16,18
2020-04-23,0,0,1,0.0,0.0,1.0,14,0,5,1,19
2020-04-24,9,1,3,0.6923,0.0769,0.2308,23,1,8,13,32
2020-04-25,6,0,1,0.8571,0.0,0.1429,29,1,9,7,39
2020-04-26,9113,9867,3840,0.3993,0.4324,0.1683,9142,9868,3849,22820,22859
2020-04-27,10457,4113,5916,0.5104,0.2008,0.2888,19599,13981,9765,20486,43345
2020-04-28,5945,1876,7225,0.3951,0.1247,0.4802,25544,15857,16990,15046,58391
2020-04-29,9047,3792,3137,0.5663,0.2374,0.1964,34591,19649,20127,15976,74367
2020-04-30,5054,837,1470,0.6866,0.1137,0.1997,39645,20486,21597,7361,81728
2020-05-01,8922,2962,3426,0.5828,0.1935,0.2238,48567,23448,25023,15310,97038
2020-05-02,17728,8188,11590,0.4727,0.2183,0.309,66295,31636,36613,37506,134544
2020-05-03,4726,1808,4567,0.4257,0.1629,0.4114,71021,33444,41180,11101,145645
