date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,12070,11187,4709,0.4316,0.4,0.1684,12070,11187,4709,27966,27966
2020-04-27,17013,6278,7000,0.5617,0.2073,0.2311,29083,17465,11709,30291,58257
2020-04-28,7398,2195,10361,0.3708,0.11,0.5192,36481,19660,22070,19954,78211
2020-04-29,9833,4057,4136,0.5455,0.2251,0.2294,46314,23717,26206,18026,96237
2020-04-30,5467,984,1712,0.6697,0.1205,0.2097,51781,24701,27918,8163,104400
2020-05-01,9905,3371,4030,0.5723,0.1948,0.2329,61686,28072,31948,17306,121706
2020-05-02,20343,9116,12677,0.4828,0.2163,0.3009,82029,37188,44625,42136,163842
2020-05-03,7455,2891,6255,0.4491,0.1741,0.3768,89484,40079,50880,16601,180443
2020-05-04,564,1617,697,0.196,0.5618,0.2422,90048,41696,51577,2878,183321
2020-05-05,1669,499,160,0.7169,0.2143,0.0687,91717,42195,51737,2328,185649
