date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,7352,8308,587,0.4525,0.5114,0.0361,7352,8308,587,16247,16247
2020-04-27,8235,3149,2443,0.5956,0.2277,0.1767,15587,11457,3030,13827,30074
2020-04-28,3174,1616,2788,0.4188,0.2132,0.3679,18761,13073,5818,7578,37652
2020-04-29,4149,1574,2120,0.529,0.2007,0.2703,22910,14647,7938,7843,45495
2020-04-30,2816,789,569,0.6747,0.189,0.1363,25726,15436,8507,4174,49669
2020-05-01,3411,1190,1458,0.563,0.1964,0.2406,29137,16626,9965,6059,55728
2020-05-02,6739,2478,2610,0.5698,0.2095,0.2207,35876,19104,12575,11827,67555
2020-05-03,3930,1261,2533,0.5088,0.1633,0.3279,39806,20365,15108,7724,75279
2020-05-04,4583,7030,1653,0.3455,0.5299,0.1246,44389,27395,16761,13266,88545
2020-05-05,10381,3309,1634,0.6774,0.2159,0.1066,54770,30704,18395,15324,103869
2020-05-06,4800,2663,2695,0.4725,0.2622,0.2653,59570,33367,21090,10158,114027
2020-05-07,2811,1483,1166,0.5148,0.2716,0.2136,62381,34850,22256,5460,119487
2020-05-08,1438,1681,1484,0.3124,0.3652,0.3224,63819,36531,23740,4603,124090
2020-05-09,889,700,730,0.3834,0.3019,0.3148,64708,37231,24470,2319,126409
2020-05-10,371,121,158,0.5708,0.1862,0.2431,65079,37352,24628,650,127059
2020-05-11,498,614,314,0.3492,0.4306,0.2202,65577,37966,24942,1426,128485
2020-05-12,2798,825,365,0.7016,0.2069,0.0915,68375,38791,25307,3988,132473
