date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,14366,1328,553,0.8842,0.0817,0.034,14366,1328,553,16247,16247
2020-04-27,8170,3687,1970,0.5909,0.2667,0.1425,22536,5015,2523,13827,30074
2020-04-28,1764,4816,998,0.2328,0.6355,0.1317,24300,9831,3521,7578,37652
2020-04-29,3460,2342,2041,0.4412,0.2986,0.2602,27760,12173,5562,7843,45495
2020-04-30,1454,1145,1575,0.3483,0.2743,0.3773,29214,13318,7137,4174,49669
2020-05-01,2566,2129,1364,0.4235,0.3514,0.2251,31780,15447,8501,6059,55728
2020-05-02,3324,6510,1993,0.2811,0.5504,0.1685,35104,21957,10494,11827,67555
2020-05-03,2349,4687,688,0.3041,0.6068,0.0891,37453,26644,11182,7724,75279
2020-05-04,3749,6884,2633,0.2826,0.5189,0.1985,41202,33528,13815,13266,88545
2020-05-05,3528,10374,1422,0.2302,0.677,0.0928,44730,43902,15237,15324,103869
2020-05-06,1954,6919,1285,0.1924,0.6811,0.1265,46684,50821,16522,10158,114027
2020-05-07,946,3777,737,0.1733,0.6918,0.135,47630,54598,17259,5460,119487
2020-05-08,1186,2836,581,0.2577,0.6161,0.1262,48816,57434,17840,4603,124090
2020-05-09,551,1312,456,0.2376,0.5658,0.1966,49367,58746,18296,2319,126409
2020-05-10,242,268,140,0.3723,0.4123,0.2154,49609,59014,18436,650,127059
2020-05-11,472,649,305,0.331,0.4551,0.2139,50081,59663,18741,1426,128485
2020-05-12,1167,2572,249,0.2926,0.6449,0.0624,51248,62235,18990,3988,132473
