date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,14370,1328,559,0.8839,0.0817,0.0344,14370,1328,559,16257,16257
2020-04-27,8177,3688,1972,0.591,0.2665,0.1425,22547,5016,2531,13837,30094
2020-04-28,1769,4815,999,0.2333,0.635,0.1317,24316,9831,3530,7583,37677
2020-04-29,3465,2341,2043,0.4415,0.2983,0.2603,27781,12172,5573,7849,45526
2020-04-30,1462,1145,1575,0.3496,0.2738,0.3766,29243,13317,7148,4182,49708
2020-05-01,2563,2122,1377,0.4228,0.35,0.2272,31806,15439,8525,6062,55770
2020-05-02,3324,6510,1993,0.2811,0.5504,0.1685,35130,21949,10518,11827,67597
2020-05-03,2370,4687,684,0.3062,0.6055,0.0884,37500,26636,11202,7741,75338
2020-05-04,3534,6038,2191,0.3004,0.5133,0.1863,41034,32674,13393,11763,87101
2020-05-05,2901,9854,1264,0.2069,0.7029,0.0902,43935,42528,14657,14019,101120
2020-05-06,1781,6822,1135,0.1829,0.7006,0.1166,45716,49350,15792,9738,110858
2020-05-07,854,3257,559,0.1829,0.6974,0.1197,46570,52607,16351,4670,115528
2020-05-08,1093,2429,533,0.2695,0.599,0.1314,47663,55036,16884,4055,119583
2020-05-09,550,1288,324,0.2544,0.5957,0.1499,48213,56324,17208,2162,121745
2020-05-10,230,311,1901,0.0942,0.1274,0.7785,48443,56635,19109,2442,124187
2020-05-11,414,687,362,0.283,0.4696,0.2474,48857,57322,19471,1463,125650
2020-05-12,1448,3900,320,0.2555,0.6881,0.0565,50305,61222,19791,5668,131318
2020-05-13,612,1300,433,0.261,0.5544,0.1846,50917,62522,20224,2345,133663
2020-05-14,523,1258,226,0.2606,0.6268,0.1126,51440,63780,20450,2007,135670
2020-05-15,361,998,503,0.1939,0.536,0.2701,51801,64778,20953,1862,137532
2020-05-16,1730,515,249,0.6937,0.2065,0.0998,53531,65293,21202,2494,140026
2020-05-17,136,1291,197,0.0837,0.795,0.1213,53667,66584,21399,1624,141650
2020-05-18,490,482,174,0.4276,0.4206,0.1518,54157,67066,21573,1146,142796
2020-05-19,524,5431,1102,0.0743,0.7696,0.1562,54681,72497,22675,7057,149853
2020-05-20,647,2364,1124,0.1565,0.5717,0.2718,55328,74861,23799,4135,153988
2020-05-21,511,1708,391,0.1958,0.6544,0.1498,55839,76569,24190,2610,156598
2020-05-22,332,1034,962,0.1426,0.4442,0.4132,56171,77603,25152,2328,158926
2020-05-23,297,522,232,0.2826,0.4967,0.2207,56468,78125,25384,1051,159977
2020-05-24,1632,2443,330,0.3705,0.5546,0.0749,58100,80568,25714,4405,164382
2020-05-25,345,862,162,0.252,0.6297,0.1183,58445,81430,25876,1369,165751
2020-05-26,337,453,527,0.2559,0.344,0.4002,58782,81883,26403,1317,167068
2020-05-27,388,625,169,0.3283,0.5288,0.143,59170,82508,26572,1182,168250
2020-05-28,346,411,161,0.3769,0.4477,0.1754,59516,82919,26733,918,169168
2020-05-29,127,563,160,0.1494,0.6624,0.1882,59643,83482,26893,850,170018
2020-05-30,84,52,36,0.4884,0.3023,0.2093,59727,83534,26929,172,170190
2020-05-31,100,199,47,0.289,0.5751,0.1358,59827,83733,26976,346,170536
2020-06-01,98,166,149,0.2373,0.4019,0.3608,59925,83899,27125,413,170949
2020-06-02,167,226,110,0.332,0.4493,0.2187,60092,84125,27235,503,171452
2020-06-03,106,220,818,0.0927,0.1923,0.715,60198,84345,28053,1144,172596
