date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-04-26,7359,8308,587,0.4528,0.5111,0.0361,7359,8308,587,16254,16254
2020-04-27,8242,3150,2443,0.5957,0.2277,0.1766,15601,11458,3030,13835,30089
2020-04-28,3175,1616,2790,0.4188,0.2132,0.368,18776,13074,5820,7581,37670
2020-04-29,4150,1575,2119,0.5291,0.2008,0.2701,22926,14649,7939,7844,45514
2020-04-30,2819,790,569,0.6747,0.1891,0.1362,25745,15439,8508,4178,49692
2020-05-01,3420,1190,1448,0.5645,0.1964,0.239,29165,16629,9956,6058,55750
2020-05-02,6739,2478,2610,0.5698,0.2095,0.2207,35904,19107,12566,11827,67577
2020-05-03,3933,1261,2533,0.509,0.1632,0.3278,39837,20368,15099,7727,75304
2020-05-04,4224,5975,1564,0.3591,0.5079,0.133,44061,26343,16663,11763,87067
2020-05-05,9342,3075,1602,0.6664,0.2193,0.1143,53403,29418,18265,14019,101086
2020-05-06,4458,2641,2638,0.4578,0.2712,0.2709,57861,32059,20903,9737,110823
2020-05-07,2250,1310,1098,0.483,0.2812,0.2357,60111,33369,22001,4658,115481
2020-05-08,1218,1519,1314,0.3007,0.375,0.3244,61329,34888,23315,4051,119532
2020-05-09,796,653,713,0.3682,0.302,0.3298,62125,35541,24028,2162,121694
2020-05-10,2132,137,171,0.8738,0.0561,0.0701,64257,35678,24199,2440,124134
2020-05-11,498,651,306,0.3423,0.4474,0.2103,64755,36329,24505,1455,125589
2020-05-12,4312,926,430,0.7608,0.1634,0.0759,69067,37255,24935,5668,131257
2020-05-13,1224,607,510,0.5229,0.2593,0.2179,70291,37862,25445,2341,133598
2020-05-14,1161,494,350,0.5791,0.2464,0.1746,71452,38356,25795,2005,135603
2020-05-15,1190,340,327,0.6408,0.1831,0.1761,72642,38696,26122,1857,137460
2020-05-16,1963,230,303,0.7865,0.0921,0.1214,74605,38926,26425,2496,139956
2020-05-17,1312,84,227,0.8084,0.0518,0.1399,75917,39010,26652,1623,141579
2020-05-18,613,286,239,0.5387,0.2513,0.21,76530,39296,26891,1138,142717
2020-05-19,1582,2236,3230,0.2245,0.3173,0.4583,78112,41532,30121,7048,149765
2020-05-20,1170,1180,1786,0.2829,0.2853,0.4318,79282,42712,31907,4136,153901
2020-05-21,828,1290,432,0.3247,0.5059,0.1694,80110,44002,32339,2550,156451
2020-05-22,1822,232,258,0.7881,0.1003,0.1116,81932,44234,32597,2312,158763
2020-05-23,579,304,105,0.586,0.3077,0.1063,82511,44538,32702,988,159751
2020-05-24,2989,859,247,0.7299,0.2098,0.0603,85500,45397,32949,4095,163846
