date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-05-08,4,63,12,0.0506,0.7975,0.1519,4,63,12,79,79
2020-05-09,9,145,31,0.0486,0.7838,0.1676,13,208,43,185,264
2020-05-10,12,414,29,0.0264,0.9099,0.0637,25,622,72,455,719
2020-05-11,15,1304,13,0.0113,0.979,0.0098,40,1926,85,1332,2051
2020-05-12,30,312,33,0.08,0.832,0.088,70,2238,118,375,2426
2020-05-13,45,174,30,0.1807,0.6988,0.1205,115,2412,148,249,2675
2020-05-14,31,287,64,0.0812,0.7513,0.1675,146,2699,212,382,3057
2020-05-15,73,121,39,0.3133,0.5193,0.1674,219,2820,251,233,3290
2020-05-16,21,158,93,0.0772,0.5809,0.3419,240,2978,344,272,3562
2020-05-17,14,67,38,0.1176,0.563,0.3193,254,3045,382,119,3681
2020-05-18,18,63,18,0.1818,0.6364,0.1818,272,3108,400,99,3780
2020-05-19,45,443,55,0.0829,0.8158,0.1013,317,3551,455,543,4323
2020-05-20,19,81,28,0.1484,0.6328,0.2188,336,3632,483,128,4451
