date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-05-09,43,70,74,0.2299,0.3743,0.3957,43,70,74,187,187
2020-05-10,297,129,30,0.6513,0.2829,0.0658,340,199,104,456,643
2020-05-11,67,82,1186,0.0502,0.0614,0.8884,407,281,1290,1335,1978
2020-05-12,92,131,160,0.2402,0.342,0.4178,499,412,1450,383,2361
2020-05-13,78,84,91,0.3083,0.332,0.3597,577,496,1541,253,2614
2020-05-14,93,240,50,0.2428,0.6266,0.1305,670,736,1591,383,2997
2020-05-15,134,52,59,0.5469,0.2122,0.2408,804,788,1650,245,3242
2020-05-16,70,131,78,0.2509,0.4695,0.2796,874,919,1728,279,3521
2020-05-17,36,55,36,0.2835,0.4331,0.2835,910,974,1764,127,3648
2020-05-18,47,46,28,0.3884,0.3802,0.2314,957,1020,1792,121,3769
2020-05-19,356,689,172,0.2925,0.5661,0.1413,1313,1709,1964,1217,4986
2020-05-20,2103,2079,1514,0.3692,0.365,0.2658,3416,3788,3478,5696,10682
2020-05-21,6375,5934,4083,0.3889,0.362,0.2491,9791,9722,7561,16392,27074
2020-05-22,6964,9876,3984,0.3344,0.4743,0.1913,16755,19598,11545,20824,47898
2020-05-23,7681,6112,2552,0.4699,0.3739,0.1561,24436,25710,14097,16345,64243
2020-05-24,6156,6422,4022,0.3708,0.3869,0.2423,30592,32132,18119,16600,80843
