status_id,user_id,polarity,tweet_topic,p_day,state_abbr,gender,age,is_in_reply_to_user,is_in_reply_to_status,is_quoted_status,is_retweeted_status,created_day
1243109042471309312,3184104169,neutral,covid19-tracking-app-australia,20200420,Unknown,Male,Middle,0,0,0,1,2020-03-26
1243108776611209217,1106174438607740928,negative,covid19-tracking-app-australia,20200420,nsw,Unknown,Unknown,0,0,0,0,2020-03-26
1243108462399074304,1197341400779460608,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243108371819040769,2931645236,positive,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,0,0,0,1,2020-03-26
1243108090284666881,221523713,neutral,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,0,0,1,0,2020-03-26
1243107444202463237,1217939176701616128,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243106544264179712,1112866140030590977,negative,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,1,0,0,0,2020-03-26
1243106457102331906,2335753988,negative,covid19-tracking-app-australia,20200420,qld,Female,Middle,0,0,0,1,2020-03-26
1243105774102077440,272791557,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243105481381429249,2279566128,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243105278792306689,877795221538447360,positive,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,0,0,0,1,2020-03-26
1243104546450067456,15510386,negative,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,0,0,1,1,2020-03-26
1243104344435609602,30860834,negative,covid19-tracking-app-australia,20200420,Unknown,Female,Middle,0,0,1,1,2020-03-26
1243103714644131845,707004931,negative,covid19-tracking-app-australia,20200420,nsw,Unknown,Unknown,0,0,0,1,2020-03-26
1243103702262546433,1035646194754539521,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243103692707909637,1015170002,positive,covid19-tracking-app-australia,20200420,nsw,Male,Middle,0,0,0,0,2020-03-26
1243103618749759491,2683712323,positive,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,1,1,0,0,2020-03-26
1243103164447907840,1106394879892975616,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243102588603527168,154672365,negative,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,0,0,1,1,2020-03-26
1243102558454812672,182229765,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243102517015146496,401340142,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,1,0,1,0,2020-03-26
1243101934036209664,879500310,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243101899949142019,974176038392492034,negative,covid19-tracking-app-australia,20200420,nsw,Unknown,Unknown,0,0,1,1,2020-03-26
1243101894509121538,1348299643,negative,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,1,2020-03-26
1243101883280969728,2920030904,neutral,covid19-tracking-app-australia,20200420,Unknown,Female,Aging,1,1,0,0,2020-03-26
1243101754310311936,218222210,negative,covid19-tracking-app-australia,20200420,act,Unknown,Unknown,0,0,1,1,2020-03-26
1243101706197426177,44110407,positive,covid19-tracking-app-australia,20200420,nsw,Female,Middle,0,0,1,0,2020-03-26
1243101458486005762,16094885,negative,covid19-tracking-app-australia,20200420,nsw,Unknown,Unknown,0,0,1,1,2020-03-26
1243101318706683904,711750460932141056,negative,covid19-tracking-app-australia,20200420,nsw,Female,Middle,0,0,1,1,2020-03-26
1243101032009195522,386914650,positive,covid19-tracking-app-australia,20200420,tas,Unknown,Unknown,0,0,0,0,2020-03-26
1243100642186375170,522779920,negative,covid19-tracking-app-australia,20200420,vic,Female,Middle,1,1,0,0,2020-03-26
1243100579032776706,537139882,negative,covid19-tracking-app-australia,20200420,nsw,Unknown,Unknown,0,0,1,0,2020-03-26
1243098969133084672,1147763708,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,0,2020-03-26
1243098746302246912,1002395521988767744,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,1,1,0,0,2020-03-26
1243097718509068291,1496861528,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,1,2020-03-26
1243097131298115584,85004016,neutral,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,1,0,0,0,2020-03-26
1243096766892761088,793685829537320960,negative,covid19-tracking-app-australia,20200420,sa,Female,Aging,0,0,0,1,2020-03-26
1243096382417719296,46310277,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,0,2020-03-26
1243096276125638656,458184349,negative,covid19-tracking-app-australia,20200420,vic,Male,Middle,1,0,0,0,2020-03-26
1243095527765331968,3147946819,positive,covid19-tracking-app-australia,20200420,sa,Female,Middle,0,0,0,1,2020-03-26
1243092955319042049,21846306,negative,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,1,1,0,0,2020-03-26
1243092841112293376,397909177,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,0,2020-03-26
1243092226067947520,1140144834130264064,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,0,2020-03-26
1243091992201932801,21846306,negative,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,1,1,0,0,2020-03-26
1243091899092570113,779814741736730624,positive,covid19-tracking-app-australia,20200420,qld,Unknown,Unknown,0,0,0,1,2020-03-26
1243089992462684160,597049053,neutral,covid19-tracking-app-australia,20200420,Unknown,Female,Aging,0,0,0,0,2020-03-26
1243088229605101569,1147763708,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,1,0,2020-03-26
1243088177088221185,242499872,neutral,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,0,0,0,0,2020-03-26
1243087846740602880,383726402,positive,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,1,2020-03-26
1243086925650485248,517356543,positive,covid19-tracking-app-australia,20200420,Unknown,Male,Aging,0,0,0,1,2020-03-26
1243086470383951872,850410244953882624,neutral,covid19-tracking-app-australia,20200420,qld,Female,Middle,0,0,0,1,2020-03-26
1243086375735287808,709933756799291394,neutral,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,1,1,0,0,2020-03-26
1243086303622656000,1240783195873796097,neutral,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,0,2020-03-26
1243086247121129472,709933756799291394,neutral,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,1,1,0,0,2020-03-26
1243085992128425990,260041830,positive,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,1,2020-03-26
1243085855771648002,709933756799291394,negative,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,1,1,0,0,2020-03-26
1243085749135663104,1033826336,neutral,covid19-tracking-app-australia,20200420,act,Female,Young,0,0,0,0,2020-03-26
1243085106484371462,709933756799291394,neutral,covid19-tracking-app-australia,20200420,vic,Unknown,Unknown,1,0,0,0,2020-03-26
1243085048607150081,301807294,positive,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,1,2020-03-26
1243084889529831424,738602898423054337,positive,covid19-tracking-app-australia,20200420,Unknown,Unknown,Unknown,0,0,0,1,2020-03-26
