tweet_text,polarity
"RT @pulte: I’m going give $5,000 to someone random who retweets this tweet to pay down debt ???? (must be following me so I can dm you. Will s…",negative
"RT @bradleyziffer: So, the last week I have been battling COVID-19 & Pneumonia. Never in my life have I been this ill. “Young people aren’t…",negative
RT @RNTata2000: The COVID 19 crisis is one of the toughest challenges we will face as a race. The Tata Trusts and the Tata group companies…,negative
"RT @realDonaldTrump: I never said the pandemic was a Hoax! Who would say such a thing? I said that the Do Nothing Democrats, together with…",negative
"RT @RBReich: No industry -- not airlines, not hotels, not cruise ships -- should be bailed out. They can stay in business by borrowing at r…",negative
"RT @AOC: I’ve lost track -  Am I “just a bartender” who should go back to making drinks without health insurance, or am I a secretly deceit…",negative
RT @AOC: My mom learned English at 23 and sent 2 kids to college scrubbing toilets after my dad died. She raised the youngest woman elected…,negative
RT @ChrisEvans: “I’ve been watching you sleep for the last hour trying to organize my thoughts. I’m not sure how to say this so I’m just go…,negative
"RT @BarackObama: In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together rather th…",negative
"RT @FredTJoseph: Just to be clear.   If Black men went to the state capitol, or anywhere like this — they would be dead. The media would ju…",negative
RT @_Shyanne_w: A lot of women don't even know they were in a sexual assault situation until after. It's a delicate situation and really ha…,negative
RT @DanWilbur: This photo is incredible. You can see the idea percolating in his mind. “Why has no one thought of this. The answer is right…,negative
"RT @GeorgePapa19: What if we suspend pay of ALL senators and governors and give them $1,200 to live on for 10 weeks. How fast would our cou…",negative
RT @MalcolmNance: PSA: This is important. We need to publicize the plight of the Post Office. If we lose that it will be privatized & imagi…,negative
RT @SoniaAdesara: One of the worst nights in A&E  It’s not safe  It’s not fair  Not fair on patients  And it’s not fair on staff  Im so ang…,negative
"RT @_SJPeace_: Brunswick, GA , On Feb 23, 2020,  Ahmaud Arbery, 25, was out on a workout run. He was murdered after being racially profiled…",negative
"RT @theunrealBT: I can’t believe this is so hard for people to grasp: yes, the current death toll for covid19 is roughly = to seasonal flu…",negative
RT @mhdksafa: Stop telling me what your leader really meant to say. If he can’t speak for himself then he shouldn’t speak for a nation.,negative
RT @JackPosobiec: BREAKING: Roger Stone reveals the FBI offered him no jail time if he 'offered dirt' on Trump. He refused and said there w…,negative
RT @w_terrence: THIS IS A MUST WATCH!  If you need a laugh today then this video will make your day!!  COMMON CORE MATH IS SO STUPID  *RT s…,negative
RT @funder: BREAKING: Trump is “sidelining” Dr Fauci for at least the next two weeks. What an outrage. We need Dr Fauci to give these brief…,negative
RT @SilERabbit: Sloppy Joe is trending. I wonder if it's because of this. You can tell it's a deep fake because Jill Biden isn't covering f…,negative
RT @ThomasSowell: One of the reasons it has taken so long for some people to finally see through Barack Obama is that people do not like to…,negative
RT @EricTrump: .?@Politico? is a joke. I spoke to this reporter for 30 minutes on Friday and told them their “facts” were wrong. They want…,negative
"RT @muftimenk: We all have many sides to us. We have one side we show to the world. Then there’s the side no one ever sees, that’s the most…",negative
RT @michaelharriot: This is from one of the “open up the country”  protests. You think I should wear this to the next Black Lives Matter ra…,negative
RT @McKaylaRoseJ: I just wanna let democrats know that they are the reason why I'm a Trump supporter. All their tantrums and panic over Tru…,negative
"RT @jburnmurdoch: NEW: a lot of data on reported Covid deaths is highly suspect, so we’ve been looking into excess mortality — how many mor…",negative
RT @KingJames: Watching Episode 4. Watching/Seeing MJ hold that first ???? damn near had me tearing up ????! That feeling and level of emotions i…,negative
RT @CaslerNoel: Y’all are acting like you’ve never seen a 73 year-old drug addict wearing Depends and a dead ferret on his head stand at th…,negative
"RT @RichardGrenell: Not true. I answered him.  He said we should act like we are a hedge fund and a troubled asset - I said no, we should a…",negative
RT @paulsperry_: Did we murder the economy and throw a fifth of the labor force out of work to save less than 0.01% of the population?,negative
"RT @robreiner: We all know Trump is a Sociopath and a Criminal. In 3+ yrs. he’s offered nothing of value. So, except when he says things li…",negative
"RT @rokwon: who else has the type of anxiety that tells you that, if you stay hypervigilant & informed & if you, in detail, imagine every p…",negative
"RT @doctor_oxford: Dear @borisjohnson,  1. The UK has one of the worst #COVID19 death rates in the world  2. 20k people have died already -…",negative
RT @heleddroberts_: This was the reaction my dad got when he asked this guy from Hull to take his tent down and leave North Wales during th…,negative
"RT @KimStrassel: For an in-depth explanation of the abuses now detailed in the IG report (and so many other abuses), pick up my new bestsel…",negative
RT @gusandrews: Throwing around my doctorate in education for a sec: I want all you parents to know that *literally no human beings ever in…,negative
"RT @Kevin_Shipp: When COVID-19 broke out in the US in early February, the CDC sent states TAINTED TEST KITS that were seeded with the virus…",negative
RT @RyanAFournier: The people who are now silent about Tara Reade are the same people who tried to destroy Brett Kavanaugh’s life and the l…,negative
"RT @kurteichenwald: This may be my angriest rant ever. And I may be ranting at you.  Lets start here: Meet Lincoln. Right now, he's struggl…",negative
RT @FlyingWithSara: ENOUGH! This was TODAY on a four hour flight. This is not okay. Masks must be mandated by DOT/HHS in airports and on ai…,negative
"RT @AZachParkinson: ""Um, you know there's a, uh, during World War II, uh, you know, where Roosevelt came up with a thing, that uh, you know…",negative
RT @Mazigburugburu1: Watch this video and get really mad about Nigeria. The hottest part of Hell awaits those that have made us such a disg…,negative
RT @nihilisims: are u absolutely petrified of driving and as a result have waited past the usual age of getting ur license so now u feel li…,negative
"RT @NHSMillion: It is heartbreaking that NHS staff have been, and continue to be, failed by those at the highest level.  We hope the media…",negative
RT @JessiePang0125: Police fire rounds and rounds of tear gas again at every exit they try to leave. The protesters are forced to trap in P…,negative
RT @billmaher: Stop trying to get me to watch Tiger King. I already have to watch one bottle-blonde from reality TV. And the other reason I…,negative
RT @JasminMuj: I think I speak for all of us when I say that what 2020 was really missing was a succession crisis in a nuclear-armed totali…,negative
RT @Acyn: Question: If an American President loses more Americans over the course of six weeks than died in the entirety of the Vietnam War…,negative
"RT @tompeck: “I refuse to risk a second outbreak, and huge loss of life,” says Boris Johnson.  (He was, however, entirely happy to risk a f…",negative
