tweet_text,polarity
RT @gnuman1979: Quarantine day 6. https://t.co/er652Oy3Ki,neutral
"RT @JeffreeStar: I?€?m gonna give away $5,000 to 3 random people who retweets this and follows me! ?? Quarantine is lasting way longer than e?€?",neutral
RT @CecilYongo: Normalize saying ?€?I don?€?t know enough to have an opinion.?€?,neutral
RT @djbaskin: Choosing your quarantine character ????????????   https://t.co/tgsQfH1ZIZ,neutral
RT @MatthewFoldi: ?€?How?€?s nationwide self-quarantine going??€? https://t.co/oP7sdQiUPA,neutral
"RT @_trillerina: White women have been calling Black women ?€?Shenaenae?€?, ?€?La?€?Quisha?€?, and ?€?ShaNiqua?€? in a demeaning manner since the 80?€?s. L?€?",neutral
RT @AdaMcVean: Daily reminder that turtles are not ?€?inside?€? their shells. They *are* their shells. https://t.co/CS8UcDE3o2,neutral
"RT @RexChapman: Quarantined stuntmen, bruh... https://t.co/nYSOqzAzBs",neutral
"RT @Michael1979: QUARANTINE DIARY  Day 1: I have stocked up on enough non-perishable food and supplies to last me for months, maybe years,?€?",neutral
RT @sarahcpr: How to medical https://t.co/0EDqJcy38p,neutral
RT @greasegIitter: wait my jaw dropped.... this queen https://t.co/og5B3bfDUO,neutral
"RT @TheMancUK: After noticing that Ken slept with a photo of his late wife every night, one of the carers at Thistleton Lodge presented him?€?",neutral
RT @TheDailyShow: Hannity. Rush. Dobbs. Ingraham. Pirro. Nunes. Tammy. Geraldo. Doocy. Hegseth. Schlapp. Siegel. Watters. Dr. Drew. Henry.?€?,neutral
RT @imnotk3vin: Let?€?s start putting ?€?happy birthday?€? first.,neutral
RT @sommer_smith2: The ?€?weee?€? took me out ????????????????????,neutral
RT @gravesandeee: if your child's sexuality is going to be an issue with you...dont have kids.,neutral
RT @edballs: Ed Balls,neutral
RT @shryma: Look how he shines for you https://t.co/p3MxxSuZUn,neutral
RT @viviannapatino: If everyone stayed home... we could be in the same place,neutral
"RT @nbcsnl: And now, a message from Dr. Anthony Fauci. #SNLAtHome https://t.co/LYemNAWaAT",neutral
RT @chazhutton: Thought I?€?d draw a more accurate calendar for 2020 so far.... https://t.co/hWB9W4PIAH,neutral
"RT @ehtelescope: Scientists have obtained the first image of a black hole, using Event Horizon Telescope observations of the center of the?€?",neutral
RT @santiagomayer_: 2020 is so fucking wild that the Pentagon just confirmed UFOs and it?€?s barely news.,neutral
"RT @OregonProgress: Princess Diana breaking royal protocol for William, to participate in a Mothers Day school race, 1989 https://t.co/C3sC?€?",neutral
RT @realDonaldTrump: The people that know me and know the history of our Country say that I am  the hardest working President in history. I?€?,neutral
RT @BillKristol: This video from Republicans for the Rule of Law has clocked more than a million views since we released it less than 24 ho?€?,neutral
RT @wqbisabi: PlayStation advertisements from 2001 https://t.co/a1uI4XkzFx,neutral
RT @MichaelGalanin: Pluto 1994 | 2018 https://t.co/mGXkNqqm8E,neutral
RT @dfhappy: Teach our babies. Yessssd https://t.co/qSJifBIKQ4,neutral
RT @dilfsarek: did it work https://t.co/G9lLGcTizY,neutral
"RT @GKuhlenschmidt: saw my step-mom, brother and dad in a porn https://t.co/Pl7JldExks",neutral
"RT @realDonaldTrump: I will be signing my Executive Order prohibiting immigration into our Country today. In the meantime, even without thi?€?",neutral
"RT @jenniferatntd: Somewhere in #Wuhan, people moving body secretly as ""zero new cases"" has become a political task, and communities dare n?€?",neutral
RT @SpaceX: Falcon Heavy?€?s side boosters land on Landing Zones 1 and 2 https://t.co/nJCCaVHOeo,neutral
RT @PhysicsAndAstr1: Baby Orchid Mantises. https://t.co/98nYbgeKIC,neutral
