tweet_text,polarity
"RT @Relentlessbored: i owe the Jurassic Park franchise an apology, it is in fact very realistic the rich would reopen a park in spite of it…",positive
RT @directedbyrian: guys I tweeted my turnip prices and elijah wood just came to my island and hung out ???????????????????? this is the best day in quara…,positive
"RT @EmilyAnnette6: At the grocery. Wearing my mask. Lady behind me, snarky & loud enough to make sure I heard, “don’t guess she realizes th…",positive
"RT @cristaldelreyy: I’m sorry, did this pandemic end?? Because I’m seeing A LOT of you out and about today with your friends and it’s just…",positive
RT @BarackObama: We owe a profound debt of gratitude to all our health professionals and everybody who’ll be on the front lines of this pan…,positive
"RT @JuliaBuscaglia: I am a 20-year old who has tested positive for COVID-19.   I was not going to share my story, but now that I see others…",positive
RT @JasonGregor: Kudos to whoever made this. The brilliance of finding the perfect song for each fall was outstanding. I laughed so hard at…,positive
"RT @holliepoetry: Spoke to my beautiful friend last night - a lung doctor in the nhs. She said, while its a lovely gesture, instead of just…",positive
RT @lumpiyas: shitting on community college & acting like you’re better than other people for going to a named university makes u elitist n…,positive
"RT @kylegriffin1: Two weeks ago, Dr. Fauci said that he'd want Brad Pitt to play him.  Two weeks later, Brad Pitt is playing Dr. Fauci on S…",positive
RT @irishrygirl: Having some states shelter in place while others are still free to roam is like having a peeing section in a swimming pool.,positive
"RT @alanalda: Treat yourself to a couple of minutes of feeling good. These babies are wearing hearing aids, and for the first time they're…",positive
"RT @dbongino: Just found out that a friend of mine I knew from the neighborhood hung himself after being let go from his job. But yes, you…",positive
RT @realemilyattack: I’m locked out of my dogs Facebook account that i created in 2010 and they won’t let me back in unless I send over a c…,positive
"RT @megelison: Good morning to my neighbor who walked out on to his back porch, did a sun salutation, and then yelled FUUUUUUUUCK so loud t…",positive
RT @RudyGiuliani: Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China?  Such grants were prohibited in 2014.  Did Pres. Obama…,positive
RT @JoeBiden: Imagine the future we can build with Donald Trump out of the White House. A future where:  - Health care is a right - We comb…,positive
"RT @Russo_Brothers: Sharing #Endgame for the first time last year, with each and every one of you, was the most thrilling and rewarding mom…",positive
"RT @rickygervais: The fact that there are warnings like ""Do not drink"" on bottles of bleach makes me realise that Donald Trump can become p…",positive
